CASH,1394,385.95,2090159,393.45,384.4,388.95,390.7
CASH,1594,2744.25,363826,2764.45,2720,2731.05,2753.5
CASH,1485,72,34371,78,68.65,74.4,73.95
CASH,1515,69.5,432529,70.5,65.65,66,67.65
CASH,1675,19.05,40858,19.85,18.8,19.55,19.95
CASH,1729,112,55470,113.4,110.9,112,112.65
CASH,1756,189,101940,195.25,182.65,194.5,195.65
CASH,2331,14.7,68938,15.65,14.5,15.55,15.5
CASH,3024,128,229506,129.7,122.5,124.95,129.8
CASH,3138,325.65,716,331,321.6,321.6,330.15
CASH,3417,2055,334,2092,2033.5,2075,2077.85
CASH,3637,200.05,83769,204.4,193.5,203.95,206.8
CASH,4430,115.4,3993,117,111.2,117,116.95
CASH,4491,122.65,30153,131,120.05,131,130.65
CASH,5143,72.15,223879,74,71.15,74,74.3
CASH,5258,251.15,438165,253.6,246.35,248.85,251.8
CASH,5633,754.75,11706,768.05,746,766.9,768.7
CASH,9348,93.1,173913,94.5,93,94.5,95
CASH,9819,400.45,231169,409.5,392.45,405.95,410.35
CASH,11236,74.55,21376,75.5,72.6,75.1,75.35
CASH,11256,72,8782,76,71,76,77
CASH,11743,137,23042,149.35,136,142.85,149.75
CASH,11880,497,48570,518,490.8,510.5,519.5
CASH,12009,622,0,0,0,0,624.15
CASH,13275,106.65,2026,111.5,105.5,109.1,110.4
CASH,13396,11.3,1407359,11.75,11.05,11.5,11.5
CASH,13715,94.4,101255,99.05,94.05,98.55,99.15
CASH,14208,33.9,107073,34.85,32.1,34.85,34.6
CASH,14309,199.25,175820,203,194.5,199.2,199.2
CASH,14435,64,41560,66.5,62.6,66,66
CASH,14732,199.9,5799589,205.45,197.1,202.95,203.5
CASH,10604,397.95,4135181,401.3,391.6,391.6,395.65
CASH,14865,25.25,91526,28.7,23.75,27.8,28.2
CASH,15022,74.1,20399,74.1,70.4,74,73.9
CASH,15161,71.8,15,71.95,71.8,71.8,72.4
CASH,16927,116,630,116,108,111,113.8
CASH,16980,5.45,5289,5.95,5.1,5.3,5.7
CASH,17869,43.2,1022279,45.45,42.35,45,45.95
CASH,2031,735.35,1513663,757.8,733,753,758.45
CASH,10999,922,1209270,945,907.05,945,947.15
CASH,19211,131.8,686,134.95,129.7,131,133.75
CASH,19679,2821.1,819,2828.95,2792,2820,2840
CASH,11709,245.1,753752,247.2,235.5,243.65,243.65
CASH,15313,140.3,1152265,147.2,138.25,146,145.95
CASH,275,81.85,2262970,85.1,80.15,84.95,85.1
CASH,4717,377.65,737423,387.8,370.5,387.8,386.55
CASH,4963,762.35,3718214,771,748,770,778.2
CASH,11460,60.3,19969174,62.6,58.9,62.35,62.65
CASH,20374,295.6,4105533,303.9,294.6,303.9,304.95
CASH,14818,307.45,1357857,343,291.5,343,321.4
CASH,13481,22.95,13632618,24.7,20.55,24.7,25
CASH,12026,34.05,14328945,34.35,32.25,32.25,32.1
CASH,11262,384,928894,391.65,379.9,385.05,394.1
CASH,1406,293.5,673478,296.3,280,280,280.1
CASH,121,96.6,2465994,112.9,88.7,109.95,110.85
CASH,526,514.1,450508,518.25,507.6,510,508.5
CASH,13,606.4,79264,618.95,592.45,618.95,620.85
CASH,22,1150.1,202913,1163.7,1133,1151.05,1158.55
CASH,1363,121.75,6508399,122.5,118.25,121.7,122.85
CASH,7569,30.95,13476143,36,28.4,35.4,36.25
CASH,100,217.5,19154,223.1,216.4,223.1,223.45
CASH,148,29.1,41052,31,29,30.5,30.6
CASH,163,59.15,756408,59.65,57.35,59.3,59.65
CASH,212,25.15,2225682,25.7,24.7,25.5,25.6
CASH,7406,307.25,849940,321.05,295.1,321,318.9
CASH,25,332.95,1757398,365,321,365,351.55
CASH,236,3076.1,69382,3098.85,3005.15,3045,3041.8
CASH,263,171,12480,176.35,170,170.05,172.05
CASH,308,29.55,2163955,29.8,28.55,28.85,28.65
CASH,338,555.1,2388,565,550,565,556.5
CASH,13187,72.4,4629528,75.2,70.75,75,75.2
CASH,553,408.4,951963,421,403.05,415.3,416.95
CASH,371,639.15,219887,660,635.85,646.2,657.9
CASH,395,483,32991,492.85,477,492.85,494.15
CASH,422,271.25,59213,274.7,268.65,273,276
CASH,480,305,955,312.7,303.55,303.55,315
CASH,11331,429,968779,433.9,416.15,422,428.25
CASH,2882,305.4,1581523,315.8,302.55,312,315.85
CASH,547,470.5,13815,485,463.2,482,484.45
CASH,595,161.05,7270,166,151,151,165.1
CASH,601,443.6,28576,446.7,431.5,431.5,440.15
CASH,619,131.7,2405,138,130,134,134.2
CASH,11431,107.65,3421581,109.5,105.5,107.2,108.55
CASH,3063,186.4,2300587,192.5,181.8,190.05,192.45
CASH,625,280,219535,284,275,281.1,281.55
CASH,664,4.8,93155,5.15,4.45,4.95,4.95
CASH,676,113,623357,115.5,113,114.9,115.15
CASH,757,896,15188,909.9,885,902,910.8
CASH,11585,126.45,639341,129.8,123.6,128,128.2
CASH,1624,264.2,557001,271,256.1,265.95,264.3
CASH,193,87.6,2151285,88.5,84.65,85,85.1
CASH,881,1554.3,307363,1579.9,1545,1546,1551.7
CASH,760,119.1,591583,120.4,116.5,120,120.4
CASH,772,95.75,321099,95.85,93.65,94.5,94.6
CASH,805,51,25017,53.5,50.15,53.5,53
CASH,842,191,9465,194.15,190.25,194,194.2
CASH,916,202.95,5866,208.8,201,208.8,206.1
CASH,937,69.95,21003,70.5,69.5,70,70.05
CASH,974,72.75,465826,74.65,71.5,74.65,74.65
CASH,1023,375.5,389974,381.9,374.05,380.1,385.3
CASH,1038,32.8,30481,33.85,32.35,33,33.75
CASH,1097,62,7752,62.95,60,62.65,63.65
CASH,1127,32.1,37118,33,31.9,33,33.05
CASH,1232,2308.9,19266,2322,2275,2322,2334.2
CASH,1247,465.75,53888,474.15,459.15,474,474.15
CASH,1270,152.25,900747,153.2,150.9,153,153.6
CASH,1301,7.85,99761,8.05,7.75,8.05,8
CASH,1567,908.3,9640,922.95,900.1,922.95,912.5
CASH,2049,187.15,18746,192,187.05,190.6,190.6
CASH,2181,6919,1078,6948.8,6855,6925,6974.9
CASH,4638,63.35,1037351,65.45,63.1,65.45,65.6
CASH,4668,719.9,421774,749.9,712.55,737.05,741.5
CASH,1333,455,2090406,461.6,450.1,455.2,459.35
CASH,14803,72.3,5848030,74.6,71.45,73,73.65
CASH,5154,371.1,75591,384,367.45,384,383.65
